Date;Prec;Temp;PET;Qobs
2016-04-29;0.0;19.03;3.2870765777453657;1.7862444243792328
2016-04-30;0.0;20.07;3.414964611856536;1.7835245146726866
2016-05-01;0.0;19.93;3.381713291492062;1.7808046049661397
2016-05-02;0.0;22.9;3.768854183634012;1.778084695259594
2016-05-03;0.0;24.93;4.0263512777036325;1.7753647855530474
2016-05-04;0.0;24.57;3.961562160961461;1.7726448758465014
2016-05-05;0.0;25.3;4.042775150041817;1.7699249661399548
2016-05-06;0.0;26.17;4.141983771303387;1.7645127765237023
2016-05-07;0.0;25.77;4.072375038054638;1.7591005869074492
2016-05-08;3.25;25.17;3.977036150255342;1.7536883972911963
2016-05-09;0.8;25.2;3.965259743508008;1.75099611738149
2016-05-10;0.0;24.73;3.888282618016372;1.7483038374717836
2016-05-11;5.125;25.63;3.9904981307858622;1.745611557562077
2016-05-12;0.0;25.87;4.006398678410054;1.7429192776523703
2016-05-13;0.0;25.7;3.969307846030659;1.740226997742664
2016-05-14;0.0;25.63;3.945526459393316;1.7375347178329568
2016-05-15;0.0;26.4;4.029888932589498;1.7348424379232503
2016-05-16;0.0;25.5;3.900262716937799;1.732150158013544
2016-05-17;3.575;23.5;3.631581668963459;1.7267940406320543
2016-05-18;0.0;22.5;3.491950859717114;1.7214379232505646
2016-05-19;0.0;21.87;3.400292697893532;1.7160818058690748
2016-05-20;0.0;24.33;3.699165966517393;1.7107256884875846
2016-05-21;0.0;24.3;3.6832700921514334;1.7080618510158014
2016-05-22;8.95;22.93;3.499800574125437;1.705398013544018
2016-05-23;0.0;20.8;3.222788754000661;1.7027341760722352
2016-05-24;0.0;20.97;3.23413632230791;1.7000703386004512
2016-05-25;0.0;23.6;3.551094289238035;1.697406501128668
2016-05-26;0.0;24.67;3.673331688882537;1.692105643340858
2016-05-27;18.225;23.6;3.530959504087718;1.6868047855530468
2016-05-28;0.0;22.9;3.435213304364076;1.6815039277652368
2016-05-29;0.8;21.37;3.2383376571586964;1.6762030699774266
2016-05-30;0.0;23.27;3.462908066004984;1.6709022121896162
2016-05-31;1.1;24.67;3.625579631994484;1.6656013544018058
2016-06-01;0.0;25.17;3.678090930619121;1.6629643340857787
2016-06-02;0.0;25.97;3.767202627031869;1.6590197742663662
2016-06-03;0.0;24.97;3.637804483697161;1.6550752144469525
2016-06-04;0.0;25.13;3.649821244995018;1.6511306546275393
2016-06-05;0.0;25.37;3.671832742133349;1.6471860948081265
2016-06-06;5.9;25.33;3.660350346566052;1.6432415349887135
2016-06-07;0.0;22.77;3.345688265256149;1.6354158013544018
2016-06-08;0.0;19.47;2.943410003835324;1.6275900677200903
2016-06-09;0.0;20.07;3.011111126266479;1.6197643340857788
2016-06-10;0.0;21.23;3.1461210000163127;1.6145756207674944
2016-06-11;0.0;19.07;2.8834169594673504;1.60938690744921
2016-06-12;0.0;18.2;2.776026412651971;1.6041981941309256
2016-06-13;0.0;19.3;2.904668596582983;1.5990094808126412
2016-06-14;0.0;22.1;3.2364220854104784;1.5938207674943567
2016-06-15;0.0;23.87;3.4450805546083347;1.5886320541760723
2016-06-16;0.0;24.4;3.50596951447732;1.5834433408577877
2016-06-17;0.0;24.0;3.4563580972704777;1.5795621670428897
2016-06-18;0.0;23.07;3.344067172125893;1.5756809932279907
2016-06-19;0.0;21.83;3.195340659180247;1.5717998194130929
2016-06-20;0.0;21.1;3.1078001274007785;1.5679186455981942
2016-06-21;0.0;19.83;2.9563618563220686;1.5614841534988713
2016-06-22;0.0;20.1;2.988650362029531;1.5589308352144473
2016-06-23;0.0;21.43;3.1475399015525745;1.5563775169300225
2016-06-24;0.0;23.73;3.4224292432690606;1.5538241986455978
2016-06-25;0.0;24.37;3.500092357378367;1.551270880361174
2016-06-26;0.0;23.77;3.430392924590912;1.5487175620767497
2016-06-27;0.0;21.97;3.2178433884118807;1.5461642437923249
2016-06-28;0.0;21.1;3.1164174677015284;1.543610925507901
2016-06-29;0.0;22.1;3.2386682197476344;1.5410576072234763
2016-06-30;0.0;23.2;3.373485306803956;1.5385042889390517
2016-07-01;0.0;23.07;3.361667427811754;1.5359509706546275
2016-07-02;0.0;23.03;3.3609933406096504;1.533397652370203
2016-07-03;0.0;23.13;3.377501833542605;1.5308443340857785
2016-07-04;0.0;23.33;3.4064519774814994;1.5282910158013543
2016-07-05;0.0;24.37;3.537019101902027;1.52573769751693
2016-07-06;0.0;23.87;3.4826135930207696;1.52573769751693
2016-07-07;0.0;22.4;3.3111642322996624;1.52573769751693
2016-07-08;0.0;23.67;3.4711660419770665;1.52573769751693
2016-07-09;0.0;24.67;3.5993816988316056;1.52573769751693
2016-07-10;0.0;25.33;3.6871411404874026;1.5207172009029342
2016-07-11;0.0;25.47;3.712276390340788;1.5156967042889389
2016-07-12;0.0;25.67;3.745197824034014;1.5106762076749436
2016-07-13;0.0;25.73;3.76147716346944;1.5056557110609483
2016-07-14;0.0;25.43;3.733993215068664;1.5006352144469526
2016-07-15;0.0;25.57;3.7608202710948047;1.4956147178329569
2016-07-16;0.0;24.2;3.6018402168506696;1.4905942212189616
2016-07-17;0.0;19.6;3.042769287775214;1.4855737246049665
2016-07-18;0.0;21.03;3.228771056946545;1.4805532279909706
