Date;P;T;IRA;IRI;Q_obs;f_cpmax_Ric;f_sfmax_Ric;f_roots_Ric;f_cpmax_Soy;f_sfmax_Soy;f_roots_Soy
2013-06-21;0.0;24.33;5.0;2.0;1.964;0.246350824885312;0.246350824885312;0.246350824885312;0.436864699216021;0.436864699216021;0.436864699216021
2013-06-22;1.0;23.9;5.0;2.0;1.959;0.2493864743801582;0.2493864743801582;0.2493864743801582;0.4476896592948453;0.4476896592948453;0.4476896592948453
2013-06-23;0.0;24.73;5.0;2.0;1.953;0.2525880595242596;0.2525880595242596;0.2525880595242596;0.4588475009146999;0.4588475009146999;0.4588475009146999
2013-06-24;0.525;25.4;5.0;2.0;1.943;0.2559622070463007;0.2559622070463007;0.2559622070463007;0.4703389626198691;0.4703389626198691;0.4703389626198691
2013-06-25;0.0;24.5;5.0;2.0;1.932;0.2595156372371833;0.2595156372371833;0.2595156372371833;0.4821641767901093;0.4821641767901093;0.4821641767901093
2013-06-26;0.0;23.87;5.0;2.0;1.922;0.2632551526259742;0.2632551526259742;0.2632551526259742;0.4943226423977919;0.4943226423977919;0.4943226423977919
2013-06-27;24.85;23.63;5.0;2.0;1.911;0.2671876256682814;0.2671876256682814;0.2671876256682814;0.5068131985863465;0.5068131985863465;0.5068131985863465
2013-06-28;0.0;25.17;5.0;2.0;1.903;0.2713199854319588;0.2713199854319588;0.2713199854319588;0.5196339992070799;0.5196339992070799;0.5196339992070799
2013-06-29;0.0;25.3;5.0;2.0;1.896;0.2756592032686062;0.2756592032686062;0.2756592032686062;0.5327824884531192;0.5327824884531192;0.5327824884531192
2013-06-30;0.0;24.73;5.0;2.0;1.885;0.2802122774631788;0.2802122774631788;0.2802122774631788;0.5462553777302577;0.5462553777302577;0.5462553777302577
2013-07-01;0.0;23.37;5.0;2.0;1.875;0.2849862168581523;0.2849862168581523;0.2849862168581523;0.5600486239048468;0.5600486239048468;0.5600486239048468
2013-07-02;1.0;22.03;5.0;2.0;1.868;0.2899880234530904;0.2899880234530904;0.2899880234530904;0.5741574090685437;0.5741574090685437;0.5741574090685437
2013-07-03;0.0;23.27;5.0;2.0;1.863;0.2952246739851242;0.2952246739851242;0.2952246739851242;0.5885761219586589;0.5885761219586589;0.5885761219586589
2013-07-04;0.075;24.53;5.0;2.0;1.858;0.3007031005007701;0.3007031005007701;0.3007031005007701;0.6032983411710409;0.6032983411710409;0.6032983411710409
2013-07-05;0.0;24.13;5.0;2.0;1.852;0.306430169934672;0.306430169934672;0.306430169934672;0.6183168202998481;0.6183168202998481;0.6183168202998481
2013-07-06;0.0;24.17;5.0;2.0;1.847;0.3124126627162255;0.3124126627162255;0.3124126627162255;0.6336234751351961;0.6336234751351961;0.6336234751351961
2013-07-07;0.0;23.7;5.0;2.0;1.84;0.3186572504306327;0.3186572504306327;0.3186572504306327;0.6492093730455025;0.6492093730455025;0.6492093730455025
2013-07-08;0.0;23.67;5.0;2.0;1.832;0.3251704725667;0.3251704725667;0.3251704725667;0.6650647246663823;0.6650647246663823;0.6650647246663823
2013-07-09;0.0;22.87;5.0;2.0;1.829;0.3319587123896227;0.3319587123896227;0.3319587123896227;0.6811788780121824;0.6811788780121824;0.6811788780121824
2013-07-10;0.0;23.4;5.0;2.0;1.827;0.3390281719830714;0.3390281719830714;0.3390281719830714;0.6975403151196624;0.6975403151196624;0.6975403151196624
2013-07-11;0.0;24.47;5.0;2.0;1.824;0.3463848465110645;0.3463848465110645;0.3463848465110645;0.7141366513259695;0.7141366513259695;0.7141366513259695
2013-07-12;0.475;24.57;5.0;2.0;1.821;0.3540344977563764;0.3540344977563764;0.3540344977563764;0.7309546372749027;0.7309546372749027;0.7309546372749027
2013-07-13;0.0;23.97;5.0;2.0;1.819;0.361982626998529;0.361982626998529;0.361982626998529;0.7479801637365691;0.7479801637365691;0.7479801637365691
2013-07-14;0.0;24.13;5.0;2.0;1.816;0.3702344473007358;0.3702344473007358;0.3702344473007358;0.7651982693158759;0.7651982693158759;0.7651982693158759
2013-07-15;0.0;24.63;5.0;2.0;1.814;0.3787948552814673;0.3787948552814673;0.3787948552814673;0.7825931511149806;0.7825931511149806;0.7825931511149806
2013-07-16;0.0;24.63;5.0;2.0;1.811;0.3876684024525402;0.3876684024525402;0.3876684024525402;0.8001481784037838;0.8001481784037838;0.8001481784037838
2013-07-17;0.0;24.6;5.0;2.0;1.811;0.3968592662117803;0.3968592662117803;0.3968592662117803;0.8178459093409323;0.8178459093409323;0.8178459093409323
2013-07-18;0.0;25.5;5.0;2.0;1.811;0.4063712205843052;0.4063712205843052;0.4063712205843052;0.8356681107755564;0.8356681107755564;0.8356681107755564
2013-07-19;0.0;25.3;5.0;2.0;1.811;0.4162076068123008;0.4162076068123008;0.4162076068123008;0.853595781147231;0.853595781147231;0.853595781147231
2013-07-20;23.875;24.67;5.0;2.0;1.811;0.4263713038987646;0.4263713038987646;0.4263713038987646;0.8716091764884164;0.8716091764884164;0.8716091764884164
2013-07-21;0.0;25.6;5.0;2.0;1.819;0.436864699216021;0.436864699216021;0.436864699216021;0.8896878395200025;0.8896878395200025;0.8896878395200025
2013-07-22;0.0;19.8;5.0;2.0;1.829;0.4476896592948453;0.4476896592948453;0.4476896592948453;0.9078106318165988;0.9078106318165988;0.9078106318165988
2013-07-23;0.0;12.5;5.0;2.0;1.84;0.4588475009146999;0.4588475009146999;0.4588475009146999;0.9259557690039548;0.9259557690039548;0.9259557690039548
2013-07-24;0.0;13.33;5.0;2.0;1.842;0.4703389626198691;0.4703389626198691;0.4703389626198691;0.944100858936442;0.944100858936442;0.944100858936442
2013-07-25;0.0;15.43;5.0;2.0;1.845;0.4821641767901093;0.4821641767901093;0.4821641767901093;0.9622229427879312;0.9622229427879312;0.9622229427879312
